pdf_filename,q1_metricas,q2_tecnica,q3_dataset,q4_contexto,q5_empirico,razon_exclusion,yes_count,decision_final,extraction_error
elmitwalli2024ft.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
gogineni2025ft.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
gorbatovski2024qa.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
gupta2025benchmark.pdf,TRUE,TRUE,TRUE,FALSE,TRUE,"Q4 fails: Although the paper fine-tunes LLMs (Llama-3-8B, GPT-3.5) and specifies the base models, the task is numerical regression of polymer thermal properties (glass transition temperature, melting temperature, decomposition temperature) — a materials science prediction task where both input (SMILES strings used as structured chemical notation, not natural language) and output (numerical temperature values in Kelvin) are not natural language. This does not qualify as an NLP task under the review's scope.",4,EXCLUIR,
han2025ft.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
han2025ft2.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
han2025trigen.pdf,TRUE,TRUE,TRUE,FALSE,TRUE,"Q4 fails: although the base model (DeepSeek-qwen-7B) is clearly identified, the primary task — automated test case generation from Chinese software requirements — is not an NLP task in the scope of this review (classification, QA, summarization, translation, dialogue, code generation, NER, etc.). The input is natural language requirements but the output is structured software test case documents, making this a software engineering automation task rather than a canonical NLP task.",4,EXCLUIR,
harris2025benchmark.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
hou2024ft.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
huang2024quant.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
iftikhar2025peft.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
jia2025agnostic.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
jung2025prefix.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
kadyrbek2025dpo.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
khader2025ft.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
khoboko2025ft.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
kiziltepe2025ft.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
kuo2025medical.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
li2025evcharging.pdf,TRUE,TRUE,TRUE,FALSE,TRUE,"Q4 fails: although the paper uses LLM architectures (Llama3, Qwen2.5) and applies LoRA fine-tuning, the task is predicting electric vehicle user charging behavior (charging interval, energy, time slot, price level, station, discount type) — a numerical/categorical time-series prediction task, not an NLP task. The input data is structured tabular/time-series EV charging records, and the outputs are numeric or categorical domain-specific values, not natural language. This does not qualify as an NLP task under the review scope.",4,EXCLUIR,
li2025federated.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
li2025keft.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
li2025tcmds.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
lin2024lora.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
liu2024cpmi.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
liu2025federated.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
liu2025llm4wm.pdf,TRUE,FALSE,TRUE,FALSE,TRUE,"Q2 and Q4 fail: Although the paper implements LoRA (via MoE-LoRA) with GPT-2 as the backbone, the fine-tuning is applied exclusively to non-NLP wireless communication tasks (channel estimation, channel prediction, beamforming, distance/path-loss estimation) where inputs and outputs are numerical wireless channel data, not natural language. Per the criteria, fine-tuning applied exclusively to non-NLP tasks is out of scope (Q2), and the tasks do not qualify as NLP tasks since neither the inputs nor outputs are natural language (Q4).",3,EXCLUIR,
liu2025mpctf.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
liu2025tasks.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
liu2025vtllm.pdf,TRUE,TRUE,TRUE,FALSE,TRUE,"Q4 fails: although the base models are explicitly identified (CodeLlama-7B, BLOOMZ-7B, etc.) and LoRA fine-tuning is applied, the task performed is vessel trajectory prediction — a numerical regression task predicting future latitude/longitude coordinates from AIS geospatial data. This is not an NLP task; neither the input nor the output is natural language in a meaningful linguistic sense (the output is a pair of numeric coordinates). The task does not qualify as classification, QA, summarization, code generation, translation, dialogue, or any other NLP task.",4,EXCLUIR,
lu2025ft.pdf,TRUE,FALSE,TRUE,FALSE,TRUE,"Q2 and Q4 fail: although the paper applies LoRA and Full Fine-Tuning to LLMs (GLM4, Qwen2.5, Llama3, T5), the task is numerical price prediction (regression on tabular freight data), not an NLP task — the input/output is not natural language but structured numerical features mapped to a price value. Per the criteria, fine-tuning applied exclusively to a non-NLP task does not qualify (Q2), and a numerical regression task does not constitute an NLP task regardless of the model architecture used (Q4).",3,EXCLUIR,
meng2025triplanet.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
monznverona2025qlora.pdf,TRUE,TRUE,TRUE,FALSE,TRUE,"Q4 fails because the fine-tuning task is not an NLP task: the model is specialized for thermoelectric generator (TEG) engineering design and physical modeling (thermal-electrical equations, parameter optimization), not a natural language processing task such as classification, summarization, QA on text corpora, translation, etc. Although the base models (JanV1-4B, Qwen3-4B) are LLMs and the interaction format is conversational, the application domain and evaluation target are engineering physics computations, which fall outside the NLP task scope required by Q4.",4,EXCLUIR,
nowak2025privacy.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
paiola2025bode.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
papaioannou2025guide.pdf,TRUE,TRUE,TRUE,FALSE,TRUE,"Q4 fails because the primary task is not an NLP task: the LLM is fine-tuned to generate personalized energy-saving recommendations based on structured appliance usage/sensor data within an energy management system. While the output is natural language text, the core application domain is energy efficiency/smart home management — not a standard NLP task (classification, QA, summarization, translation, etc.). The input consists of numerical behavioral features (activations per day, duration, entropy) rather than natural language, placing this outside the NLP task scope required by the criterion.",4,EXCLUIR,
peng2025keyword.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
prottasha2024peft.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
pulari2025rlhf.pdf,TRUE,TRUE,TRUE,TRUE,FALSE,"Q5 fails: the paper does not present original experimental results from training or fine-tuning conducted by the authors themselves. The ROUGE scores in Table I are drawn from existing SOTA models (BERT, BART, PEGASUS, BRIO, GPT3-D2, T0) with no evidence that the authors actually trained or fine-tuned any model; the 'RLHF with Human Selection Strategy' rows appear to be illustrative/proposed results without documented experimental setup (no optimizer, training steps, epochs, or hardware reported), and the methodology sections describe algorithmic proposals and formulas rather than empirical experiments conducted by the authors.",4,EXCLUIR,
qi2025adversaria.pdf,TRUE,TRUE,TRUE,FALSE,TRUE,"Q4 fails: although LoRA is applied to Qwen1.5-7B and Mistral-7B (base models are identified), the tasks performed — IoT service topology prediction and running status (anomaly) prediction — are not NLP tasks. The inputs and outputs are structured IoT sensor/metric data and binary/graph labels, not natural language, even though the data is converted to text prompts as an intermediate representation. This is fundamentally a network anomaly detection and graph topology prediction task, not a natural language processing task.",4,EXCLUIR,
qi2025transformi.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
rathore2025ft.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
ren2025patent.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
richterpechanski2025medication.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
rullo2025cardio.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
savage2025dpo.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
seo2025lora.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
shen2025ft.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
shen2025quant.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
sindhujan2025translation.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
song2025lora.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
sousa2025medical.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
su2025thinking.pdf,TRUE,TRUE,TRUE,FALSE,TRUE,"Q4 fails: Although the base model (Qwen2-7B-Instruct) is clearly identified, the task being performed is not an NLP task — it is automated safety modeling of high-altitude solar drone SysML state machine diagrams (a structured, domain-specific engineering modeling task). The input and output are formal SysML diagrams, not natural language, and the task does not qualify as classification, summarization, QA, code generation, translation, dialogue, or any standard NLP task.",4,EXCLUIR,
sun2024mirachatglm.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
sun2025dialoguemllm.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
tanabe2025multimodal.pdf,FALSE,FALSE,TRUE,FALSE,TRUE,"Q1 False: only MAE, MAPE, and correlation coefficient reported — none of these are standard NLP metrics (accuracy, F1, BLEU, ROUGE, etc.). Q2 and Q4 False: the task is food energy estimation from food images, which is numerical regression/image processing, not an NLP task — even though the base model is a multimodal LLM (LLaVA-1.5 with LoRA).",2,EXCLUIR,
tong2025xuanhugpt.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
tran2024bioinstruct.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
ulurmak2025ft.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
vithanage2025medical.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
wang2025ft.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
wang2025lora.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
wei2025network.pdf,TRUE,TRUE,TRUE,FALSE,TRUE,"Q4 fails: although the base model (OPT-30B) is clearly identified, the task performed is network traffic classification/malicious traffic detection — a cybersecurity/network analysis task whose inputs are parsed packet fields (not natural language) and whose outputs are category labels. This does not constitute an NLP task as defined by the criterion; the input and output are not natural language in any meaningful linguistic sense, and the paper explicitly frames its contribution as a network security application rather than an NLP task.",4,EXCLUIR,
wu2024federated.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
wu2025lora.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
xiang2024sumllama.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
xiao2025kgsr.pdf,TRUE,FALSE,TRUE,FALSE,TRUE,"Q2 and Q4 fail: although LoRA is applied to fine-tune Qwen2.5-0.5B-Instruct, the task is bearing fault diagnosis from vibration signals — a non-NLP industrial classification task where inputs are numerical sensor signals transformed into text wrappers, not natural language. The core task is not an NLP task (classification, QA, summarization, translation, etc.) but geophysical/mechanical fault detection, which explicitly disqualifies it under Q2 (fine-tuning applied exclusively to a non-NLP task) and Q4 (the task performed is not an NLP task).",3,EXCLUIR,
xiong2025lora.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
xu2024mentalllm.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
xu2025cpel.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
yang2024tcmgpt.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
yang2025ceprompt.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
yang2025hierarchic.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
ye2025loraadv.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
zain2025ruold.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
zhang2025dialogue.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
zhang2025ft.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
zhao2025daft.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
zhao2025medical.pdf,TRUE,FALSE,TRUE,FALSE,TRUE,"Q2 & Q4 fail: Although LoRA fine-tuning is genuinely implemented on Qwen2.5-72B, the task is sepsis mortality prediction — a binary clinical outcome classification where inputs are structured numerical/clinical variables (vital signs, lab values) and outputs are mortality labels (0/1). This is not a natural language processing task (e.g., text classification, QA, summarization, translation, NER, dialogue), but rather a clinical risk prediction task using tabular/structured medical data. Therefore Q4 is FALSE (the task is not an NLP task), and Q2 is FALSE because the fine-tuning is applied exclusively to a non-NLP task per the evaluation criteria.",3,EXCLUIR,
zhou2024adapter.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
zhou2025kg.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
zhu2025fullft.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
zou2025peft.pdf,TRUE,TRUE,TRUE,TRUE,TRUE,,5,INCLUIR,
