title,evaluador_sistematico,revisor_academico,investigador_ml,experto_metodologico,veredicto_final
Estimating urban flooding depth by integrating multimodal image-text data: A segment-level direct preference optimization-based multimodal large language model,False,False,False,False,Rejected
Visual-language transformer-based tomato leaf disease detection for portable greenhouse monitoring device,False,False,False,False,Rejected
TCM-DS: a large language model for intelligent traditional Chinese medicine edible herbal formulas recommendations,True,True,True,True,Accepted
MVLFLM: A parameter-efficient large language model framework for cross-domain multi-voltage load forecasting in smart grids,False,True,False,True,Undecided
XuanHuGPT: parameter-efficient fine-tuning of large language model in the field of traditional Chinese medicine,True,True,True,True,Accepted
Hybrid backdoor attacks for deep code models,False,False,False,False,Rejected
AI-Based Pre-Renewal Design for Historic Building Facades: An AIGC–LoRA Framework with Collaborative Assessment,False,True,False,False,Rejected
Efficient Network Traffic Analysis Using Large-Parameter LLMs on Consumer-Grade GPUs,True,True,True,True,Accepted
DAFT: Domain-Augmented Fine-Tuning for Large Language Models in Emotion Recognition of Health Misinformation,True,True,True,True,Accepted
Fine tuning large language models for hate speech detection in Hinglish and code mixed custom dataset through a socially responsible approach for safer digital platforms,True,True,False,True,Accepted
Fine-Tuning a Local LLM for Thermoelectric Generators with QLoRA: From Generalist to Specialist,True,True,True,True,Accepted
"A Multimodal Agent Framework for Construction Scenarios: Accurate Perception, Dynamic Retrieval, and Explainable Hazard Reasoning",True,True,False,False,Undecided
RAG-TPC: Retrieval Augmented Generation for Teenager Psychological Counseling Using DeepSeek,True,True,True,True,Accepted
The Retrieval-Augmented Pedagogical Assistant (RAPA): A Methodology for Enhancing Critical Thinking and Equity in AI-Augmented Education,False,False,False,False,Rejected
